評等日期,公司代碼,券商,原評等,升/降,新評等,財測EPS(年度),舊目標價,新目標價,現價,備註
20200604,3023-信邦,亞系券商,買進,重申,買進,,160.0,195.0,127.0,--
20200604,3665-F-貿聯,亞系券商,低於市場表現,重申,低於市場表現,,180.0,195.0,179.5,--
20200604,3661-F-世芯,亞系券商,無,首次,買進,,,435.0,238.0,--
20200604,1319-東陽,亞系券商,無,首次,買進,,,45.0,33.7,--
20200603,2454-聯發科,美系券商,加碼,重申,加碼,,470.0,536.0,368.0,--
20200603,2454-聯發科,亞系券商,超越市場表現,重申,超越市場表現,,538.0,565.0,368.0,--
20200601,2337-旺宏,美系券商,中立,降級,減碼,,32.0,26.5,31.3,--
20200601,2344-華邦電,美系券商,中立,降級,減碼,,12.5,11.5,13.3,--
20200601,3037-欣興,美系券商,--,首次,買進,,,66.0,38.1,--
20200529,5274-信驊,美系券商,買進,重申,買進,,1450.0,1800.0,1085.0,--
20200529,1536-和大,美系券商,中立,降級,減碼,,85.0,75.0,86.7,--
20200528,2454-聯發科,美系券商,加碼,重申,加碼,,450.0,530.0,368.0,--
20200528,2330-台積電,亞系券商,超越市場表現,重申,超越市場表現,,296.0,296.0,306.5,--
20200527,2330-台積電,美系券商,買進,重申,買進,,327.0,333.0,306.5,--
20200527,6176-瑞儀,亞系券商,加碼,重申,加碼,,118.0,125.0,92.8,--
20200527,2337-旺宏,美系券商,--,首次,加碼,,,41.0,31.3,--
20200526,6415-F-矽力,美系券商,加碼,重申,加碼,,1500.0,1500.0,1200.0,--
20200526,2049-上銀,亞系券商,買進,重申,買進,,,365.0,245.0,--
20200525,6488-,歐系券商,中立,降級,賣出,,400.0,300.0,379.5,--
20200520,2474-可成,歐系券商,超越市場表現,降級,中立,,245.0,200.0,217.0,--
20200520,6415-F-矽力,亞系券商,買進,降級,賣出,,1212.0,900.0,1200.0,--
20200520,3105-穩懋,美系券商,中立,降級,減碼,,285.0,225.0,274.0,--
20200520,3105-穩懋,歐系券商,超越市場表現,降級,中立,,350.0,255.0,274.0,--
20200519,2454-聯發科,歐系券商,超越市場表現,重申,超越市場表現,,430.0,500.0,368.0,--
20200519,2454-聯發科,美系券商,中立,升級,加碼,,378.0,470.0,368.0,--
20200518,3034-聯詠,亞系券商,買進,降級,中立,,225.0,195.0,185.0,--
20200518,1301-台塑,亞系券商,減碼,升級,買進,,60.0,97.0,83.2,--
20200515,2345-智邦,歐系券商,超越市場表現,重申,超越市場表現,,200.0,240.0,206.0,--
20200515,6415-F-矽力,亞系券商,買進,重申,買進,,991.0,1503.0,1200.0,--
20200515,6415-F-矽力,美系券商,加碼,重申,加碼,,1300.0,1500.0,1200.0,--
20200514,2448-晶電,歐系券商,中立,降級,低於市場表現,,28.0,32.0,32.6,--
20200513,6147-頎邦,美系券商,買進,降級,賣出,,52.0,55.0,56.0,--
20200513,2379-瑞昱,亞系券商,持有,升級,超越市場表現,,235.0,275.0,230.5,--
20200513,2379-瑞昱,美系券商,加碼,重申,加碼,,,260.0,230.5,--
20200512,1476-儒鴻,亞系券商,買進,降級,中立,,411.0,304.0,280.0,--
20200511,1476-儒鴻,亞系券商,買進,降級,超越市場表現,,392.0,305.0,280.0,--
20200511,2313-華通,亞系券商,買進,重申,買進,,42.0,55.0,35.4,--
20200511,3037-欣興,亞系券商,買進,重申,買進,,43.0,55.0,38.1,--
20200507,6213-聯茂,美系券商,買進,重申,買進,,,176.0,143.0,--
20200507,6213-聯茂,亞系券商,買進,重申,買進,,161.0,170.0,143.0,--
20200507,6274-台燿,亞系券商,買進,重申,買進,,138.0,165.0,129.0,--
20200507,6274-台燿,美系券商,買進,重申,買進,,,140.0,129.0,--
20200506,6274-台燿,美系券商,買進,重申,買進,,140.0,155.0,129.0,--
20200506,2327-國巨,美系券商,加碼,重申,加碼,,545.0,570.0,339.5,--
20200506,2327-國巨,亞系券商,中立,重申,中立,,400.0,450.0,339.5,--
20200506,8436-大江,亞系券商,持有,升級,買進,,190.0,295.0,233.5,--
20200506,2409-友達,歐系券商,超越市場表現,重申,超越市場表現,,252.0,320.0,7.37,--
20200506,2409-友達,亞系券商,持有,升級,買進,,272.0,336.0,7.37,--
20200506,2454-聯發科,美系券商,加碼,重申,加碼,,,450.0,368.0,--
20200430,2458-義隆,歐系券商,超越市場表現,重申,超越市場表現,,100.0,110.0,92.7,--
20200430,2345-智邦,亞系券商,超越市場表現,降級,中立,,,199.0,206.0,--
20200429,5347-世界,亞系券商,減碼,重申,減碼,,64.0,57.0,68.2,--
20200429,5347-世界,美系券商,減碼,重申,減碼,,66.0,66.0,68.2,--
20200428,2330-台積電,亞系券商,買進,降級,中立,,310.0,310.0,306.5,--
20200428,6488-,亞系券商,買進,降級,中立,,450.0,385.0,379.5,--
20200428,3105-穩懋,亞系券商,買進,降級,減碼,,370.0,200.0,274.0,--
