日期,賣權成交量,買權成交量,買賣權成交量比率%,賣權未平倉量,買權未平倉量,買賣權未平倉量比率%
2014-12-29,316489,322370,98.18,542082,438273,123.69
2014-12-27,149599,127457,117.37,494307,426710,115.84
2014-12-26,215984,237143,91.08,473825,412476,114.87
2014-12-25,164934,145881,113.06,421038,360107,116.92
2014-12-24,397419,466609,85.17,365496,309455,118.11
2014-12-23,240222,247794,96.94,489474,399538,122.51
2014-12-22,286767,301165,95.22,457077,380884,120.0
2014-12-19,389090,435227,89.4,407235,365017,111.57
2014-12-18,283530,311055,91.15,338893,334277,101.38
2014-12-17,719580,634861,113.34,255461,259035,98.62
2014-12-16,448599,430636,104.17,758340,749727,101.15
2014-12-15,408076,410037,99.52,731440,707046,103.45
2014-12-12,299160,300518,99.55,723452,675127,107.16
2014-12-11,353505,358532,98.6,680487,642943,105.84
2014-12-10,731994,675243,108.4,624911,597193,104.64
2014-12-09,297571,287587,103.47,750456,675903,111.03
2014-12-08,283380,325461,87.07,746223,635781,117.37
2014-12-05,232264,245484,94.61,718979,595220,120.79
2014-12-04,312722,341489,91.58,677633,553655,122.39
2014-12-03,582304,619946,93.93,599305,489341,122.47
2014-12-02,446373,443138,100.73,680642,642656,105.91
2014-12-01,545555,531445,102.66,666370,577539,115.38
2014-11-28,272535,240853,113.15,637193,509653,125.02
2014-11-27,338796,320600,105.68,558944,453591,123.23
2014-11-26,287031,309878,92.63,457950,389676,117.52
2014-11-25,282877,277475,101.95,557089,475918,117.06
2014-11-24,233477,230063,101.48,527697,454650,116.07
2014-11-21,214713,217628,98.66,486580,427212,113.9
2014-11-20,327670,289803,113.07,444359,376223,118.11
2014-11-19,533488,580536,91.9,343033,327449,104.76
2014-11-18,480399,476583,100.8,766910,769714,99.64
2014-11-17,493880,511764,96.51,760832,718971,105.82
2014-11-14,300010,328466,91.34,743649,696901,106.71
2014-11-13,313070,356761,87.75,719039,680482,105.67
2014-11-12,574820,665815,86.33,662146,643568,102.89
2014-11-11,244892,296840,82.5,798992,697777,114.51
2014-11-10,372641,454502,81.99,774632,664229,116.62
2014-11-07,324736,330987,98.11,727480,691004,105.28
2014-11-06,341987,380394,89.9,694287,657959,105.52
2014-11-05,428691,440091,97.41,645500,568559,113.53
2014-11-04,403999,401196,100.7,769380,644784,119.32
2014-11-03,396784,488066,81.3,726345,619071,117.33
2014-10-31,386812,449372,86.08,672461,586193,114.72
2014-10-30,268365,291880,91.94,613617,572378,107.2
2014-10-29,462683,571241,81.0,560339,512669,109.3
2014-10-28,405622,439178,92.36,660831,611070,108.14
2014-10-27,269376,276964,97.26,601101,624389,96.27
