編號,時間,貼文,標籤,標註,打卡地點,留言數,愛心數,標籤數,標註數,圖片數,貼文網址,圖片網址
2038614966433979915,2019-05-07 23:11:03,"嗨嗨 #李大芝 本人超小隻
看與惡的時候就覺得她很瘦
但本人比螢幕上更瘦呢！
然後超親切的合照☺️
因為公司的拍攝計劃可以有機會見本人
覺得很幸運～💕
祝生日當天還工作滿滿的 @exploreryu 生日快樂🎂
#我們與惡的距離 #陳妤","李大芝
我們與惡的距離
陳妤",exploreryu,,11,1910,3,1,1,https://www.instagram.com/p/BxKnYLMF54L/,https://instagram.ftpe8-4.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/57870498_202755997373702_5944768205713441421_n.jpg?_nc_ht=instagram.ftpe8-4.fna.fbcdn.net&_nc_cat=102&_nc_ohc=mEvCcmHN9kwAX_o-CJ7&oh=59915f9c524e8642d0aa16452c8e4b9c&oe=5F80F965
2037727987387223756,2019-05-06 17:48:47,"四眼柴柴太可愛了
完全融化🥰🥰🥰 #柴犬 #四眼柴犬 #shibainu #shiba #doggylover","柴犬
四眼柴犬
shibainu
shiba
doggylover",,,31,1656,5,0,1,https://www.instagram.com/p/BxHds7lFk7M/,https://instagram.ftpe8-4.fna.fbcdn.net/v/t51.2885-15/e35/58785083_141084610360438_2142989582186127580_n.jpg?_nc_ht=instagram.ftpe8-4.fna.fbcdn.net&_nc_cat=110&_nc_ohc=0ETRCp3w8nIAX-CVhem&oh=791b99a84dc357bfc60402caed1d842c&oe=5F80194F
2034274741398028582,2019-05-01 23:27:48,"下雨的日子☔️
大家都幹嘛呢
我是在家耍廢了一整天啦！🤪
宅 的 有 夠 爽～
/
想幫我的房間鋪地板
自己就可以用的那種
目前心儀 @dhshop_tw 的歐爸地板
還有 #特力屋 可以黏貼的那種塑膠地磚⋯
有沒有人買過 可以給點意見勒🤣
/
#澎湖景點 #踩點行程 #風櫃洞 #香菇頭","特力屋
澎湖景點
踩點行程
風櫃洞
香菇頭",dhshop_tw,,28,983,5,1,2,https://www.instagram.com/p/Bw7MhlolEEm/,"['https://instagram.ftpe8-2.fna.fbcdn.net/v/t51.2885-15/e35/57415311_133755941027005_7705055568273066023_n.jpg?_nc_ht=instagram.ftpe8-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=aTahGUQj33gAX9fILwZ&oh=801d376d3cbe2c7aecf327614d3deb11&oe=5F7F7E92', 'https://instagram.ftpe8-2.fna.fbcdn.net/v/t51.2885-15/e35/57239261_358758501445380_8389026424441371710_n.jpg?_nc_ht=instagram.ftpe8-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=1hGzGWpw17IAX-Y6gCp&oh=f92469813ac7d5e05c049254081ac0d8&oe=5F80C02D']"
2032105582157470134,2019-04-28 23:38:04,"很像ikea外觀的可愛咖啡廳💙💛
工作後和姐妹悠閒的午茶時光～☕️
#taipeicafe #café","taipeicafe
café",,GinGin Coffee Company,14,1025,2,0,1,https://www.instagram.com/p/BwzfUKqlZm2/,https://instagram.ftpe8-3.fna.fbcdn.net/v/t51.2885-15/e35/57071098_411019409628378_6192993879620267619_n.jpg?_nc_ht=instagram.ftpe8-3.fna.fbcdn.net&_nc_cat=106&_nc_ohc=tTRACtrAXNoAX85rski&oh=2f9956996d77e80d176b9ff809a3da45&oe=5F7E3C1E
2030657137412523605,2019-04-26 23:40:16,"這星期⋯過得還真久啊
任務還沒結束😅
星期天可以來找我跟蜜柑啊！
/
還不能放空⋯
/
我好想躺在沙灘看著海🏖️吹著風 
就這樣⋯啥都不想的放空一整天",,,,13,1525,0,0,1,https://www.instagram.com/p/BwuV-hYFcZV/,https://instagram.ftpe8-1.fna.fbcdn.net/v/t51.2885-15/e35/58079963_430241440880792_70098181739601803_n.jpg?_nc_ht=instagram.ftpe8-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=gU5EwAD3-bMAX-EpsTw&oh=d2295dd165017be8aef64c2af4bd651e&oe=5F7E354D
2028978739447589188,2019-04-24 16:05:35,"太陽大到臉發燙☀️
/
#moxbii漸層時尚",moxbii漸層時尚,,,28,2130,1,0,1,https://www.instagram.com/p/BwoYWndl-lE/,https://instagram.ftpe8-3.fna.fbcdn.net/v/t51.2885-15/e35/57114919_420836688730638_5756205246599007477_n.jpg?_nc_ht=instagram.ftpe8-3.fna.fbcdn.net&_nc_cat=106&_nc_ohc=iyJHhwvGe0IAX9jIDJl&oh=d2c5536c14ce2c62f1c9e3b9becfd7f5&oe=5F7E20B0
2028978631855175448,2019-04-24 16:05:22,"風超大🤣💨
/
#moxbii漸層時尚",moxbii漸層時尚,,,5,889,1,0,1,https://www.instagram.com/p/BwoYVDQlfcY/,https://instagram.ftpe8-3.fna.fbcdn.net/v/t51.2885-15/e35/56691599_175546760101739_6285046530054465386_n.jpg?_nc_ht=instagram.ftpe8-3.fna.fbcdn.net&_nc_cat=111&_nc_ohc=nt1vsMcw2TsAX8P_2wK&oh=b4aaad02787908420c3798fe7e6caf7c&oe=5F7FF03C
2028978494911197440,2019-04-24 16:05:06,"朦朧
/
#moxbii漸層時尚",moxbii漸層時尚,,,7,889,1,0,1,https://www.instagram.com/p/BwoYTDuFrEA/,https://instagram.ftpe8-3.fna.fbcdn.net/v/t51.2885-15/e35/57053791_165203684482422_5440157969089745469_n.jpg?_nc_ht=instagram.ftpe8-3.fna.fbcdn.net&_nc_cat=106&_nc_ohc=NIknSlXz6EAAX_dgfdj&oh=00887fe663c83bfb9e864332c3393588&oe=5F7EB9ED
2027485724610439567,2019-04-22 14:39:14,"總是在星期一最有動力發文
哈哈哈 不知為何😜
/
澎湖西嶼鄉的二崁古厝這邊很漂亮
許多翻新的老屋
搭配美美的花磚 真的很好拍
然後杏仁茶很濃 可惜我不愛杏仁味⋯
/
推薦來澎湖的話必須到二崁走走看看拍拍
#澎湖 #澎湖景點 #西嶼鄉 #二崁杏仁茶 #二崁古厝","澎湖
澎湖景點
西嶼鄉
二崁杏仁茶
二崁古厝",,二崁杏仁茶館,23,1898,5,0,3,https://www.instagram.com/p/BwjE4ZClKmP/,"['https://instagram.ftpe8-1.fna.fbcdn.net/v/t51.2885-15/e35/56800924_134805514326125_463915194135349430_n.jpg?_nc_ht=instagram.ftpe8-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=LmtfORqr62YAX-GBO8_&oh=ee54b8275cf0c16beb1c7b1a53dfb30f&oe=5F7DD1A3', 'https://instagram.ftpe8-2.fna.fbcdn.net/v/t51.2885-15/e35/56611751_1550185861782121_5639095952528663041_n.jpg?_nc_ht=instagram.ftpe8-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=2Yny6YeUkwkAX9hnZ1n&oh=b5a61fa5dd5a7819d605f0339e346c13&oe=5F7DC370', 'https://instagram.ftpe8-1.fna.fbcdn.net/v/t51.2885-15/e35/58410139_413134822850120_3538195684291340629_n.jpg?_nc_ht=instagram.ftpe8-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=PetYtpaCHO8AX82E95i&oh=f30c067b0db6a4a4dae4ea515e8de136&oe=5F7F7A8F']"
2023364253575492588,2019-04-16 22:10:36,"從灰灰的澎湖回到了灰灰的台北
哈哈哈🤣 
下次要夏天來這個美麗的島嶼🏖
還沒看到它上了金黃色的樣子
#澎湖 #澎湖景點 #及林春咖啡館 #澎湖海灘","澎湖
澎湖景點
及林春咖啡館
澎湖海灘",,及林春咖啡館,13,1335,4,0,1,https://www.instagram.com/p/BwUbxGBlzPs/,https://instagram.ftpe8-3.fna.fbcdn.net/v/t51.2885-15/e35/56201278_1275916895893315_2288283491764665707_n.jpg?_nc_ht=instagram.ftpe8-3.fna.fbcdn.net&_nc_cat=107&_nc_ohc=_vwmExZ9b5gAX8HBxLq&oh=52af865761dc4ab9700f5487085193f0&oe=5F7F6A19
